# 0023          ; Emoji                #   [1] (#️)       NUMBER SIGN
# 002A          ; Emoji                #   [1] (*️)       ASTERISK
# 0030..0039    ; Emoji                #  [10] (0️..9️)    DIGIT ZERO..DIGIT NINE
00A9          ; Emoji                #   [1] (©️)       COPYRIGHT
00AE          ; Emoji                #   [1] (®️)       REGISTERED
203C          ; Emoji                #   [1] (‼️)       DOUBLE EXCLAMATION MARK
2049          ; Emoji                #   [1] (⁉️)       EXCLAMATION QUESTION MARK
2122          ; Emoji                #   [1] (™️)       TRADE MARK
2139          ; Emoji                #   [1] (ℹ️)       INFORMATION
2194..2199    ; Emoji                #   [6] (↔️..↙️)    LEFT-RIGHT ARROW..DOWN-LEFT ARROW
21A9..21AA    ; Emoji                #   [2] (↩️..↪️)    RIGHT ARROW CURVING LEFT..LEFT ARROW CURVING RIGHT
231A..231B    ; Emoji                #   [2] (⌚..⌛)    WATCH..HOURGLASS
2328          ; Emoji                #   [1] (⌨️)       KEYBOARD
23CF          ; Emoji                #   [1] (⏏️)       EJECT BUTTON
23E9..23F3    ; Emoji                #  [11] (⏩..⏳)    FAST-FORWARD BUTTON..HOURGLASS WITH FLOWING SAND
23F8..23FA    ; Emoji                #   [3] (⏸️..⏺️)    PAUSE BUTTON..RECORD BUTTON
24C2          ; Emoji                #   [1] (Ⓜ️)       CIRCLED M
25AA..25AB    ; Emoji                #   [2] (▪️..▫️)    BLACK SMALL SQUARE..WHITE SMALL SQUARE
25B6          ; Emoji                #   [1] (▶️)       PLAY BUTTON
25C0          ; Emoji                #   [1] (◀️)       REVERSE BUTTON
25FB..25FE    ; Emoji                #   [4] (◻️..◾)    WHITE MEDIUM SQUARE..BLACK MEDIUM-SMALL SQUARE
2600..2604    ; Emoji                #   [5] (☀️..☄️)    SUN..COMET
260E          ; Emoji                #   [1] (☎️)       TELEPHONE
2611          ; Emoji                #   [1] (☑️)       BALLOT BOX WITH CHECK
2614..2615    ; Emoji                #   [2] (☔..☕)    UMBRELLA WITH RAIN DROPS..HOT BEVERAGE
2618          ; Emoji                #   [1] (☘️)       SHAMROCK
261D          ; Emoji                #   [1] (☝️)       INDEX POINTING UP
2620          ; Emoji                #   [1] (☠️)       SKULL AND CROSSBONES
2622..2623    ; Emoji                #   [2] (☢️..☣️)    RADIOACTIVE..BIOHAZARD
2626          ; Emoji                #   [1] (☦️)       ORTHODOX CROSS
262A          ; Emoji                #   [1] (☪️)       STAR AND CRESCENT
262E..262F    ; Emoji                #   [2] (☮️..☯️)    PEACE SYMBOL..YIN YANG
2638..263A    ; Emoji                #   [3] (☸️..☺️)    WHEEL OF DHARMA..SMILING FACE
2640          ; Emoji                #   [1] (♀️)       FEMALE SIGN
2642          ; Emoji                #   [1] (♂️)       MALE SIGN
2648..2653    ; Emoji                #  [12] (♈..♓)    ARIES..PISCES
2660          ; Emoji                #   [1] (♠️)       SPADE SUIT
2663          ; Emoji                #   [1] (♣️)       CLUB SUIT
2665..2666    ; Emoji                #   [2] (♥️..♦️)    HEART SUIT..DIAMOND SUIT
2668          ; Emoji                #   [1] (♨️)       HOT SPRINGS
267B          ; Emoji                #   [1] (♻️)       RECYCLING SYMBOL
267F          ; Emoji                #   [1] (♿)       WHEELCHAIR SYMBOL
2692..2697    ; Emoji                #   [6] (⚒️..⚗️)    HAMMER AND PICK..ALEMBIC
2699          ; Emoji                #   [1] (⚙️)       GEAR
269B..269C    ; Emoji                #   [2] (⚛️..⚜️)    ATOM SYMBOL..FLEUR-DE-LIS
26A0..26A1    ; Emoji                #   [2] (⚠️..⚡)    WARNING..HIGH VOLTAGE
26AA..26AB    ; Emoji                #   [2] (⚪..⚫)    WHITE CIRCLE..BLACK CIRCLE
26B0..26B1    ; Emoji                #   [2] (⚰️..⚱️)    COFFIN..FUNERAL URN
26BD..26BE    ; Emoji                #   [2] (⚽..⚾)    SOCCER BALL..BASEBALL
26C4..26C5    ; Emoji                #   [2] (⛄..⛅)    SNOWMAN WITHOUT SNOW..SUN BEHIND CLOUD
26C8          ; Emoji                #   [1] (⛈️)       CLOUD WITH LIGHTNING AND RAIN
26CE          ; Emoji                #   [1] (⛎)       OPHIUCHUS
26CF          ; Emoji                #   [1] (⛏️)       PICK
26D1          ; Emoji                #   [1] (⛑️)       RESCUE WORKER’S HELMET
26D3..26D4    ; Emoji                #   [2] (⛓️..⛔)    CHAINS..NO ENTRY
26E9..26EA    ; Emoji                #   [2] (⛩️..⛪)    SHINTO SHRINE..CHURCH
26F0..26F5    ; Emoji                #   [6] (⛰️..⛵)    MOUNTAIN..SAILBOAT
26F7..26FA    ; Emoji                #   [4] (⛷️..⛺)    SKIER..TENT
26FD          ; Emoji                #   [1] (⛽)       FUEL PUMP
2702          ; Emoji                #   [1] (✂️)       SCISSORS
2705          ; Emoji                #   [1] (✅)       WHITE HEAVY CHECK MARK
2708..2709    ; Emoji                #   [2] (✈️..✉️)    AIRPLANE..ENVELOPE
270A..270B    ; Emoji                #   [2] (✊..✋)    RAISED FIST..RAISED HAND
270C..270D    ; Emoji                #   [2] (✌️..✍️)    VICTORY HAND..WRITING HAND
270F          ; Emoji                #   [1] (✏️)       PENCIL
2712          ; Emoji                #   [1] (✒️)       BLACK NIB
2714          ; Emoji                #   [1] (✔️)       HEAVY CHECK MARK
2716          ; Emoji                #   [1] (✖️)       HEAVY MULTIPLICATION X
271D          ; Emoji                #   [1] (✝️)       LATIN CROSS
2721          ; Emoji                #   [1] (✡️)       STAR OF DAVID
2728          ; Emoji                #   [1] (✨)       SPARKLES
2733..2734    ; Emoji                #   [2] (✳️..✴️)    EIGHT-SPOKED ASTERISK..EIGHT-POINTED STAR
2744          ; Emoji                #   [1] (❄️)       SNOWFLAKE
2747          ; Emoji                #   [1] (❇️)       SPARKLE
274C          ; Emoji                #   [1] (❌)       CROSS MARK
274E          ; Emoji                #   [1] (❎)       CROSS MARK BUTTON
2753..2755    ; Emoji                #   [3] (❓..❕)    QUESTION MARK..WHITE EXCLAMATION MARK
2757          ; Emoji                #   [1] (❗)       EXCLAMATION MARK
2763..2764    ; Emoji                #   [2] (❣️..❤️)    HEAVY HEART EXCLAMATION..RED HEART
2795..2797    ; Emoji                #   [3] (➕..➗)    HEAVY PLUS SIGN..HEAVY DIVISION SIGN
